responseid,interview_start,interview_end,gender,colour_plus,region,list,Q1_1,Q1_2,Q1_3,Q1_4,Q1_99,Q2,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q4,Q4_98_other,Q4b_1,Q4b_2,Q4b_3,Q4b_4,Q4b_98,Q4b_98_recoded,Q4b_98_other,Q4b_5,Q4b_6,Q4b_7,Q4b_8,Q4b_9,Q4b_10,Q4b_99,Q5_1,Q5_2,Q5_3,Q5_4,Q5_99,Q6ax1_1,Q6ax1_2,Q6ax1_3,Q6ax2_1,Q6ax2_2,Q6ax2_3,Q6ax3_1,Q6ax3_2,Q6ax3_3,Q6ax4_1,Q6ax4_2,Q6ax4_3,Q6bx1_1,Q6bx1_2,Q6bx1_3,Q6bx2_1,Q6bx2_2,Q6bx2_3,Q6bx3_1,Q6bx3_2,Q6bx3_3,Q6bx4_1,Q6bx4_2,Q6bx4_3,Q7_1,Q7_2,Q7_3,Q8_1,Q8_2,Q8_99,Q9,Q10_1,Q10_2,oQ11,Q13,Q13_98_other,Q13_1,Q13_2,Q13_3,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_6,Q14_7,Q14_8,Q14_98,Q14_98_other,Q14_99,Q15_1,Q15_2,Q15_3,Q15_4,Q15_5,Q15_6,Q15_7,Q15_8,Q15_9,Q15_10,Q15_98,Q15_98_other,Q15_99,Q16_1,Q16_2,Q16_3,Q16_4,Q16_5,Q16_6,Q16_7,Q16_8,Q16_9,Q18a_1,Q18a_2,Q18a_3,Q18a_4,Q18a_5,Q18a_6,Q18a_7,Q18a_8,Q18a_9,Q18a_99,Q17_1,Q17_2,Q17_3,Q18,Q19,Q20,Q21,Q21_98_other,Q22,Q22_98_other,Q23,AgeBand,Q24
23,28/11/2024,28/11/2024,Female,ORANGE,REGIONAL,EV,1,1,0,0,0,"10,000-20,000",1,1,0,0,0,At home,,0,0,1,0,0,,,0,0,0,0,0,0,0,0,1,1,0,0,2,2,5,1,3,5,,,,,,,2,2,2,0 - Weekend days,1,2,,,,,,,Strongly agree,Strongly agree,Somewhat agree,1,0,0,Somewhat familiar,Strongly agree,Neither agree nor disagree,,Next 3-5 years,,0,0,0,1,0,0,1,0,1,0,0,0,,0,0,0,0,0,1,1,1,0,0,0,0,,0,Neither interested nor uninterested,Neither interested nor uninterested,Very interested,Not at all interested,Neither interested nor uninterested,Neither interested nor uninterested,Neither interested nor uninterested,Neither interested nor uninterested,Neither interested nor uninterested,0,0,0,0,0,0,1,0,0,0,2,1,3,None of these,3,2,Freestanding house,,Own outright,,64,55-64 years,"$500-1000 a week / $26,000-$52,000 a year"
24,28/11/2024,28/11/2024,Male,GREY,METROPOLITAN,EV,0,1,0,0,0,"10,000-20,000",0,1,0,0,0,At home,,0,0,0,0,1,0,Supercharger,1,0,0,0,0,0,0,0,1,0,0,0,,,,3,4,5,,,,,,,,,,1,1,2,,,,,,,Somewhat agree,Somewhat agree,Somewhat agree,1,1,0,Very familiar,Somewhat agree,Somewhat agree,,Next 3-5 years,,0,0,0,1,0,0,0,1,0,0,0,0,,0,0,0,1,0,1,1,0,0,0,0,0,,0,Fairly interested,Fairly interested,Fairly interested,Fairly interested,Fairly interested,Fairly interested,Fairly interested,Fairly interested,Fairly interested,0,0,0,0,1,0,0,0,0,0,1,2,3,Discharge to my home AND discharge to the grid once a week for a moderate financial benefit,4,4,Freestanding house,,Own outright,,44,35-44 years,Prefer not to say
25,28/11/2024,28/11/2024,Not Stated,GREY,METROPOLITAN,EV,0,1,0,0,0,"10,000-20,000",0,1,1,0,0,"At a public charger (e.g. shopping centre, petrol station)",,0,0,1,0,0,,,0,0,0,0,0,0,0,0,1,0,0,0,,,,5,5,5,,,,,,,,,,1,2,2,,,,,,,Strongly disagree,Strongly agree,Somewhat agree,0,0,1,Somewhat familiar,Somewhat agree,Strongly disagree,Not really,,,0,0,0,0,0,0,1,0,1,0,1,0,,0,0,0,1,1,1,0,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,2,Apartment/unit,,Own with mortgage,,55,55-64 years,"$1000-2000 a week / $52,000-$104,000 a year"
26,28/11/2024,28/11/2024,Male,BROWN,METROPOLITAN,Main,1,0,0,0,0,"10,000-20,000",1,0,0,0,0,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,4,4,0 - Weekdays,,,,,,,,,,1,1,0 - Weekend days,,,,,,,,,,Neither agree nor disagree,Strongly agree,Somewhat disagree,1,0,0,Not at all familiar,Somewhat agree,Strongly disagree,,,,0,0,0,0,0,0,1,0,0,1,1,0,,0,0,1,1,1,0,0,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,2,Freestanding house,,Own with mortgage,,42,35-44 years,Prefer not to say
27,28/11/2024,28/11/2024,Male,GREY,METROPOLITAN,Main,1,0,0,0,0,"Less than 10,000",0,1,0,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,2,5,5,,,,,,,,,,2,2,2,,,,,,,,,,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,1,0,0,Not at all familiar,Strongly agree,Neither agree nor disagree,No,Don't know,,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1,0,0,,0,Fairly uninterested,Fairly uninterested,Fairly uninterested,Fairly uninterested,Fairly uninterested,Fairly uninterested,Fairly uninterested,Fairly uninterested,Fairly uninterested,0,0,0,0,0,0,0,0,0,1,1,2,3,None of these,1,5 or more,Freestanding house,,Other (please specify),Living with son,82,65+,"Less than $500 a week / Less than $26,000 a year"
28,28/11/2024,28/11/2024,Male,PURPLE,METROPOLITAN,Boost - 30 to 50,1,0,0,0,0,"20,001-50,000",1,1,0,0,0,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,3,4,4,,,,,,,,,,1,2,2,,,,,,,,,,Strongly agree,Strongly agree,Strongly agree,1,0,0,Not at all familiar,Somewhat agree,Strongly disagree,,,,0,0,0,0,0,0,0,0,0,1,0,0,,0,1,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,3,Freestanding house,,Own with mortgage,,46,45-54 years,"$1000-2000 a week / $52,000-$104,000 a year"
29,29/11/2024,29/11/2024,Female,LILAC,REGIONAL,Main,1,0,0,0,0,"Less than 10,000",1,0,0,0,0,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,5,3,3,,,,,,,,,,2,1,1,,,,,,,,,,Strongly agree,Strongly agree,Somewhat agree,0,0,1,Somewhat familiar,Strongly disagree,Strongly disagree,"We do not like it at all. The cars are too expensive to buy, especially when your on a pension.",,,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,0,0,0,1,0,1,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,2,Freestanding house,,Own outright,,75,65+,Prefer not to say
30,29/11/2024,29/11/2024,Male,,INTERSTATE,EV,1,1,0,0,0,"20,001-50,000",1,1,0,1,0,At home,,0,0,0,0,1,0,Whatever convenient fast charging I find,1,0,1,0,0,0,0,0,1,0,0,0,0 - Weekdays,5,5,2,5,5,,,,,,,1,2,2,1,2,2,,,,,,,Strongly agree,Strongly agree,Strongly agree,1,1,0,Very familiar,Strongly agree,Strongly agree,,As soon as possible,,0,0,0,1,1,1,0,0,0,0,0,0,,0,1,0,0,1,0,0,0,0,0,0,0,,0,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested,0,0,0,0,0,0,0,0,0,1,2,1,3,Discharge to my home AND discharge to the grid most nights for the maximum financial benefit,5,4,Freestanding house,,Own with mortgage,,41,35-44 years,"$3000-4000 a week / $156,000-$208,000 a year"
36,29/11/2024,29/11/2024,Not Stated,GREY,METROPOLITAN,EV,1,1,0,0,0,"20,001-50,000",0,1,0,0,0,At home,,0,1,0,1,0,,,0,0,0,0,0,0,0,0,1,0,0,0,4,5,5,0 - Weekdays,4,4,,,,,,,2,2,2,1,1,2,,,,,,,Strongly agree,Somewhat agree,Somewhat agree,0,0,1,Very familiar,Strongly agree,Strongly agree,It’s a must. Trials of entire towns of V2G are going well. We have to utilise this smart energy flow.,Next 3-5 years,,0,0,0,1,1,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,1,Very interested,Very interested,Very interested,Fairly interested,Fairly interested,Very interested,Fairly interested,Fairly interested,Very interested,1,1,1,0,1,1,1,0,1,0,2,1,3,Discharge to my home AND discharge to the grid once a week for a moderate financial benefit,3,2,Townhouse,,Own outright,,64,55-64 years,"$2000-3000 a week / $104,000-$156,000 a year"
48,29/11/2024,29/11/2024,Male,ORANGE,INTERSTATE,EV,1,1,0,0,0,"10,000-20,000",0,1,0,0,0,At home,,0,0,1,1,0,,,0,0,0,0,0,0,0,0,1,0,0,0,3,5,5,3,3,3,,,,,,,1,2,2,1,1,1,,,,,,,Somewhat agree,Strongly agree,Somewhat agree,1,1,0,Somewhat familiar,Somewhat agree,Somewhat agree,,Next 1-2 years,,0,0,0,0,1,1,1,0,0,0,0,0,,0,1,0,0,0,0,1,0,1,0,0,0,,0,Fairly interested,Fairly interested,Fairly interested,Fairly interested,Fairly interested,Fairly interested,Fairly interested,Fairly interested,Fairly interested,1,0,0,0,0,0,0,0,0,0,1,2,3,"Discharge to my home only, to reduce my energy bills",5,2,Freestanding house,,Own with mortgage,,62,55-64 years,"$4000+ a week / $208,000+ a year"
51,29/11/2024,29/11/2024,Not Stated,RED,METROPOLITAN,EV,0,1,0,0,0,"10,000-20,000",0,0,1,0,0,"At a public charger (e.g. shopping centre, petrol station)",,1,0,1,1,0,,,0,0,0,0,0,0,0,0,1,0,0,0,,,,5,2,4,,,,,,,,,,0 - Weekend days,1,2,,,,,,,Strongly agree,Strongly agree,Somewhat agree,0,0,1,Very familiar,Strongly disagree,Strongly disagree,,,,0,0,0,0,1,0,0,1,0,0,0,0,,0,1,0,1,0,1,0,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,2,Apartment/unit,,Own outright,,39,35-44 years,"$3000-4000 a week / $156,000-$208,000 a year"
56,29/11/2024,29/11/2024,Not Stated,UNKNOWN,RURAL,Main,1,0,0,0,0,"10,000-20,000",1,0,0,0,0,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,5,5,5,,,,,,,,,,1,2,2,,,,,,,,,,Strongly disagree,Strongly agree,Strongly disagree,0,0,1,Not at all familiar,Neither agree nor disagree,Strongly agree,,I rent and am not able to get V2G installed,,0,0,0,1,1,1,0,0,0,0,0,0,,0,1,0,0,0,1,0,0,0,1,0,0,,0,Not at all interested,Not at all interested,Not at all interested,Not at all interested,Not at all interested,Not at all interested,Not at all interested,Not at all interested,Not at all interested,0,0,0,0,0,0,0,0,1,0,3,1,2,Discharge to my home AND discharge to the grid once a week for a moderate financial benefit,5,2,Freestanding house,,Rent,,27,25-34 years,"$2000-3000 a week / $104,000-$156,000 a year"
68,29/11/2024,29/11/2024,Female,GREY,INTERSTATE,EV,1,0,0,0,0,"20,001-50,000",0,0,0,1,0,,,,,,,,,,0,0,0,0,0,0,0,1,1,1,1,0,5,5,5,,,,,,,,,,2,2,2,,,,,,,,,,Strongly agree,Strongly agree,Somewhat agree,1,0,0,Very familiar,Strongly agree,Strongly agree,Our previous positive experience with house solar panels and batteries and two EVs makes us very enthusiastic about V2G technology.,As soon as possible,,0,0,0,1,1,1,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,1,0,1,0,,0,Fairly interested,Very interested,Very interested,Not at all interested,Fairly interested,Very interested,Fairly interested,Fairly interested,Fairly interested,1,0,0,0,0,0,0,0,0,0,1,2,3,Discharge to my home AND discharge to the grid once a week for a moderate financial benefit,2,4,Freestanding house,,Own outright,,60,55-64 years,Prefer not to say
84,29/11/2024,29/11/2024,Male,KHAKI,REGIONAL,EV,1,1,0,0,0,"10,000-20,000",0,1,0,1,0,At home,,0,0,1,0,0,,,0,0,0,0,0,0,0,0,1,0,0,0,4,5,5,4,5,5,,,,,,,1,2,2,1,2,2,,,,,,,Somewhat agree,Somewhat agree,Neither agree nor disagree,1,0,0,Somewhat familiar,Strongly agree,Strongly agree,,As soon as possible,,0,0,0,0,1,0,1,0,1,0,0,0,,0,0,0,0,0,1,0,0,1,0,0,0,,0,Very interested,Very interested,Neither interested nor uninterested,Not at all interested,Neither interested nor uninterested,Neither interested nor uninterested,Fairly interested,Neither interested nor uninterested,Fairly interested,1,0,0,0,0,0,0,0,0,0,2,1,3,"Discharge to my home only, to reduce my energy bills",1,2,Freestanding house,,Own outright,,70,65+,Prefer not to say
97,29/11/2024,29/11/2024,Female,KHAKI,RURAL,EV,0,1,0,0,0,"10,000-20,000",1,1,0,0,0,At home,,0,0,0,1,0,,,0,0,0,0,0,0,0,0,1,0,0,0,,,,3,3,5,,,,,,,,,,2,2,2,,,,,,,Strongly agree,Strongly agree,Neither agree nor disagree,1,1,0,Very familiar,Strongly agree,Strongly agree,,Next 1-2 years,,0,0,0,1,1,1,0,0,0,0,0,0,,0,0,0,0,0,1,0,1,0,0,1,0,,0,Fairly interested,Fairly interested,Fairly interested,Fairly interested,Fairly interested,Fairly interested,Fairly interested,Fairly interested,Fairly interested,0,0,1,0,0,1,0,0,1,0,1,2,3,Discharge to my home AND discharge to the grid once a week for a moderate financial benefit,5,2,Freestanding house,,Own outright,,67,65+,"$500-1000 a week / $26,000-$52,000 a year"
107,29/11/2024,29/11/2024,Male,GREY,METROPOLITAN,EV,0,1,0,0,0,"Less than 10,000",0,0,1,0,0,At home,,0,0,1,0,0,,,0,0,0,0,0,0,0,0,0,0,0,1,,,,5,5,5,,,,,,,,,,2,2,2,,,,,,,Strongly agree,Neither agree nor disagree,Somewhat agree,0,0,1,Somewhat familiar,Strongly agree,Somewhat agree,,Next 1-2 years,,0,0,0,0,1,0,0,1,0,0,1,0,,0,0,0,0,0,1,1,0,1,0,0,0,,0,Very interested,Neither interested nor uninterested,Fairly interested,Not at all interested,Neither interested nor uninterested,Fairly interested,Neither interested nor uninterested,Neither interested nor uninterested,Fairly uninterested,1,1,1,0,1,1,1,1,0,0,2,1,3,Discharge to my home AND discharge to the grid during high demand events (3-4 times a year) to get a small financial benefit,5,1,Apartment/unit,,Own outright,,68,65+,Prefer not to say
112,29/11/2024,29/11/2024,Female,GREY,RURAL,EV,0,1,0,0,0,"10,000-20,000",0,1,0,0,0,At home,,0,0,0,1,0,,,0,0,0,0,0,0,0,0,0,0,0,1,,,,3,5,5,,,,,,,,,,1,2,2,,,,,,,Strongly agree,Strongly agree,Somewhat agree,1,0,0,Somewhat familiar,Strongly agree,Strongly agree,No,As soon as possible,,0,0,0,1,1,1,0,0,0,0,0,0,,0,1,0,1,0,1,0,0,0,0,0,0,,0,Fairly interested,Very interested,Very interested,Fairly interested,Fairly interested,Very interested,Very interested,Fairly interested,Very interested,1,1,1,0,1,1,1,0,0,0,1,2,3,Discharge to my home AND discharge to the grid during high demand events (3-4 times a year) to get a small financial benefit,5,2,Freestanding house,,Own outright,,69,65+,Prefer not to say
126,29/11/2024,1/12/2024,Not Stated,PURPLE,REGIONAL,Main,1,0,0,0,0,"Less than 10,000",0,1,0,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0 - Weekdays,5,5,,,,,,,,,,1,2,2,,,,,,,,,,Strongly agree,Strongly agree,Strongly agree,1,0,0,Not at all familiar,Strongly agree,Neither agree nor disagree,,5+ years,,0,0,0,0,1,0,1,0,1,0,0,0,,0,1,0,0,0,0,0,0,1,1,0,0,,0,Fairly interested,Fairly interested,Fairly interested,Fairly interested,Neither interested nor uninterested,Neither interested nor uninterested,Neither interested nor uninterested,Neither interested nor uninterested,Fairly interested,1,0,0,1,0,0,1,0,0,0,3,1,2,Discharge to my home AND discharge to the grid most nights for the maximum financial benefit,1,3,Freestanding house,,Own with mortgage,,59,55-64 years,"$3000-4000 a week / $156,000-$208,000 a year"
127,29/11/2024,29/11/2024,Female,BROWN,REGIONAL,Main,1,0,0,0,0,"20,001-50,000",1,1,0,0,0,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,1,0,0 - Weekdays,5,5,,,,,,,,,,1,1,2,,,,,,,,,,Somewhat agree,Somewhat agree,Neither agree nor disagree,0,0,1,Not at all familiar,Neither agree nor disagree,Strongly disagree,"It's not really attainable for a lot of people. Not only due to the cost, but the distances needed to go",,,0,0,0,0,1,1,0,0,0,0,1,0,,0,1,1,0,0,0,0,0,1,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,2,Freestanding house,,Own with mortgage,,39,35-44 years,"$1000-2000 a week / $52,000-$104,000 a year"
135,29/11/2024,29/11/2024,Male,LILAC,REGIONAL,Main,1,0,0,0,0,"10,000-20,000",1,1,0,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,3,5,5,,,,,,,,,,1,2,2,,,,,,,,,,Somewhat agree,Somewhat agree,Somewhat agree,0,0,1,Not at all familiar,Somewhat agree,Somewhat agree,,Don't know,,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,1,Not at all interested,Not at all interested,Not at all interested,Not at all interested,Not at all interested,Not at all interested,Not at all interested,Not at all interested,Not at all interested,0,0,0,0,0,0,0,0,0,1,2,1,3,Discharge to my home AND discharge to the grid once a week for a moderate financial benefit,5,2,Freestanding house,,Own with mortgage,,82,65+,"$1000-2000 a week / $52,000-$104,000 a year"
